x,y
386.3,124.7
385.6,153.0
386.9,181.5
389.8,209.0
399.2,233.1
415.5,253.3
435.3,269.0
460.2,280.4
486.3,284.1
509.6,284.3
529.3,275.7
546.7,262.2
561.6,242.9
572.1,217.7
578.4,189.1
583.0,159.1
585.2,129.5
405.7,89.1
420.8,76.2
440.6,72.6
460.2,74.6
477.5,79.9
518.9,81.9
536.0,76.8
551.6,76.8
567.0,81.3
577.5,93.1
498.5,102.3
500.2,117.0
501.8,131.9
503.3,147.5
478.1,168.0
488.3,171.3
498.4,174.3
508.5,172.7
517.3,170.5
429.8,110.0
441.6,102.6
455.4,102.7
466.0,110.3
454.6,113.0
441.2,113.1
523.6,112.5
534.4,105.7
547.3,106.8
556.1,114.7
547.9,117.4
535.7,116.2
453.5,212.4
471.2,203.5
485.8,200.4
496.9,203.4
508.8,201.9
520.7,207.4
530.4,216.1
520.3,223.6
507.8,226.0
495.3,226.0
483.3,224.4
468.7,220.1
460.7,212.1
484.7,209.1
496.1,210.5
508.1,210.4
525.5,215.8
507.3,213.6
495.2,213.9
483.7,212.4
