x,y
888.6,1001.4
896.7,1119.6
910.5,1236.2
928.1,1349.4
965.2,1451.2
1026.5,1546.2
1103.5,1627.8
1203.7,1690.4
1317.3,1702.9
1424.9,1681.4
1518.0,1621.3
1594.7,1541.8
1651.4,1446.4
1683.8,1335.7
1698.7,1221.8
1711.7,1106.9
1718.9,989.3
949.3,946.5
996.0,887.6
1070.0,863.3
1148.2,870.3
1222.4,897.4
1380.4,892.5
1462.5,865.6
1541.3,861.8
1617.6,886.2
1666.3,945.9
1306.6,1002.1
1307.9,1088.7
1309.0,1175.1
1310.9,1262.5
1205.2,1281.2
1256.7,1304.2
1310.4,1323.3
1363.3,1300.8
1410.6,1280.3
1049.2,1019.0
1096.5,993.7
1152.4,995.2
1200.2,1024.2
1149.4,1036.2
1093.5,1037.4
1410.6,1022.0
1462.9,991.5
1517.4,991.9
1562.9,1014.3
1521.0,1030.8
1467.7,1031.9
1118.1,1380.3
1196.8,1366.2
1265.6,1363.4
1313.8,1373.7
1368.5,1360.7
1436.2,1360.1
1508.0,1367.2
1439.0,1421.5
1373.7,1447.6
1316.1,1455.2
1265.3,1452.2
1196.0,1433.2
1144.3,1384.5
1265.2,1398.0
1314.3,1403.0
1370.1,1393.3
1481.4,1373.6
1369.4,1394.0
1314.2,1402.0
1264.8,1397.7
