x,y
116.2,195.6
117.7,223.3
120.5,251.0
124.4,277.3
134.3,301.6
151.4,322.6
172.1,339.9
195.8,354.1
221.2,357.4
245.6,352.1
266.3,337.1
283.8,319.0
298.3,297.5
307.2,272.4
309.8,245.7
309.6,218.2
308.0,190.3
134.5,186.0
147.3,175.3
163.7,171.6
180.5,172.7
196.5,177.4
233.1,175.1
249.0,168.5
264.4,166.5
280.2,168.4
291.6,177.1
217.2,193.6
218.4,211.9
219.7,230.3
221.1,249.2
196.2,254.4
207.8,259.3
219.9,263.4
231.7,258.2
241.9,253.1
156.6,198.2
167.3,192.1
178.8,191.9
189.1,198.2
178.2,199.4
166.9,199.6
240.9,195.8
251.0,188.0
262.3,187.1
272.2,192.4
263.4,194.7
252.9,195.5
166.6,274.8
186.2,272.2
206.2,273.2
219.3,275.3
234.5,272.3
252.7,270.3
269.5,271.0
253.7,293.7
235.9,305.4
219.7,308.0
205.5,306.8
185.1,297.0
172.4,276.6
206.0,278.6
219.4,279.9
234.7,277.2
264.4,273.5
235.2,294.7
219.5,297.6
205.7,296.4
