x,y
204.4,177.9
206.4,236.6
209.9,296.0
212.2,356.7
227.9,411.0
260.2,456.8
300.5,494.1
340.4,515.8
387.6,520.2
436.6,505.7
478.7,470.4
515.8,440.3
537.4,409.5
549.3,374.3
560.7,335.7
562.8,300.8
558.4,268.4
208.4,124.9
225.7,100.2
257.1,87.9
291.3,102.1
327.7,131.7
411.2,163.6
445.8,165.9
481.5,170.1
514.7,180.8
530.5,203.6
384.6,198.7
378.1,223.6
373.7,246.8
370.1,272.5
322.9,310.2
345.6,316.7
368.3,324.6
392.8,322.5
415.4,315.0
259.3,167.6
277.2,160.9
301.2,167.0
324.0,191.1
298.5,188.9
272.1,184.4
418.5,218.9
446.5,208.6
471.4,216.9
492.3,234.3
466.9,235.4
441.4,228.7
286.2,379.7
317.0,378.7
349.1,376.3
365.8,384.4
383.1,381.6
410.9,390.9
447.0,399.5
410.1,413.2
381.1,416.8
363.1,416.8
346.6,414.4
315.5,405.1
294.4,381.6
353.0,391.1
368.6,394.5
387.5,394.4
430.7,399.0
386.6,393.3
369.0,394.5
354.2,392.4
