x,y
537.9,485.4
539.7,558.7
549.5,629.9
563.0,696.9
585.5,754.2
619.8,807.8
655.3,851.9
697.9,884.4
751.4,896.6
804.4,890.1
854.4,858.7
893.2,810.4
919.4,754.3
937.9,699.7
958.1,648.3
982.9,596.5
1004.3,540.6
603.3,451.7
639.2,413.2
687.0,399.7
733.3,403.9
773.5,419.8
817.6,423.5
860.2,420.0
902.4,429.8
939.8,451.3
959.6,488.6
784.4,477.6
776.9,518.8
769.4,559.5
762.7,601.9
728.5,634.1
742.1,640.6
754.7,647.8
768.9,646.7
781.6,644.4
648.1,487.6
674.3,472.4
704.6,474.9
720.0,492.9
697.6,504.7
667.4,502.6
834.4,509.4
859.6,496.3
888.4,503.2
905.5,523.9
886.1,533.7
857.3,527.5
697.4,727.8
717.1,702.7
735.1,691.3
742.5,698.0
750.3,696.0
761.2,713.6
768.0,740.5
751.0,760.8
739.9,764.6
731.5,764.0
720.8,760.4
707.7,750.1
710.0,725.5
731.5,716.5
740.0,719.6
747.3,719.8
754.1,736.7
744.5,728.6
736.4,728.9
727.5,725.5
