x,y
963.5,227.3
963.5,236.1
964.2,244.8
965.5,253.3
967.7,261.4
971.3,268.4
975.5,274.3
980.1,278.9
987.5,280.3
996.6,279.2
1006.2,275.2
1014.7,269.9
1020.9,263.1
1024.6,254.9
1026.4,246.1
1027.8,237.1
1028.7,228.1
962.9,218.8
966.0,214.7
970.7,213.6
975.6,214.4
980.2,216.7
991.1,216.6
997.7,214.4
1004.7,213.9
1011.6,215.3
1016.8,219.4
985.5,223.9
984.3,229.3
982.9,234.6
981.7,240.2
977.6,245.0
980.4,246.2
983.4,247.1
987.1,246.3
990.6,245.4
968.3,225.1
971.3,222.9
975.4,223.0
978.9,225.9
975.0,226.6
970.9,226.6
996.5,226.1
1000.5,223.2
1005.1,223.4
1009.2,225.7
1005.2,227.1
1000.7,227.0
974.4,256.8
976.9,254.0
980.4,252.7
983.4,253.6
987.1,252.9
993.0,254.5
999.6,257.2
993.1,261.2
987.3,262.8
983.4,263.1
980.1,262.7
976.7,260.9
976.0,256.9
980.7,255.9
983.6,256.3
987.4,256.1
997.1,257.3
987.4,258.3
983.6,258.6
980.6,258.2
61.0,233.5
62.5,242.4
64.7,251.2
67.7,259.7
72.2,267.4
78.9,273.6
87.1,278.1
96.9,280.8
106.3,280.5
114.1,278.4
119.6,273.7
124.1,267.5
127.6,259.9
129.3,251.0
129.5,241.5
128.9,232.0
127.5,222.7
67.6,221.5
71.8,216.3
78.1,213.8
84.9,213.2
91.1,214.3
102.5,212.0
107.7,208.7
113.0,207.4
118.6,208.2
123.0,211.8
98.3,220.6
100.0,226.1
101.7,231.5
103.4,237.1
95.3,243.8
99.3,244.3
103.4,244.6
106.7,243.1
109.6,241.6
75.6,227.1
79.4,223.8
84.0,223.1
88.5,225.2
84.6,226.6
79.9,227.4
106.6,222.0
110.1,218.4
114.4,217.8
118.1,219.6
115.5,221.2
111.2,222.0
88.9,258.0
95.0,253.6
100.5,251.1
104.3,251.4
108.1,249.9
112.9,250.8
117.0,253.2
114.1,258.2
110.1,260.6
105.9,261.6
101.9,262.0
95.8,261.2
91.3,257.7
100.8,254.4
104.6,254.0
108.4,253.1
115.2,253.7
108.9,256.3
104.9,257.3
101.0,257.6
641.7,190.7
641.8,197.7
642.6,204.7
643.9,211.5
646.3,217.7
650.0,222.9
654.7,226.8
660.1,229.6
666.8,230.2
673.8,229.5
680.6,226.9
686.8,223.3
691.8,218.1
695.1,211.5
696.8,204.0
697.9,196.4
698.5,188.9
643.8,181.6
646.9,177.5
651.6,175.8
656.4,175.7
660.9,177.1
670.2,176.4
675.7,174.5
681.3,174.2
686.9,175.7
691.0,179.4
665.6,182.7
665.2,186.7
664.8,190.7
664.4,194.8
659.6,200.1
662.3,200.7
665.1,201.2
668.3,200.5
671.2,199.8
649.1,186.0
652.1,183.6
655.8,183.4
659.0,185.7
655.6,186.4
651.9,186.7
674.1,184.9
677.5,182.3
681.4,182.3
684.7,184.3
681.7,185.3
677.8,185.4
655.7,211.4
659.0,208.1
662.7,206.4
665.3,206.9
668.5,206.2
673.2,207.7
678.0,210.4
673.5,213.7
669.0,215.0
665.6,215.4
662.7,215.3
659.0,214.3
657.3,211.3
662.7,209.0
665.5,209.1
668.6,208.8
676.2,210.5
668.8,211.4
665.5,211.8
662.8,211.7
1096.9,250.9
1095.4,260.4
1094.8,270.2
1094.9,279.7
1096.5,288.5
1100.1,296.3
1104.7,302.6
1110.3,307.4
1118.6,309.5
1128.2,309.5
1137.8,306.4
1146.4,301.7
1153.0,295.1
1157.7,286.9
1160.7,278.0
1163.1,269.0
1165.1,260.0
1101.0,241.8
1105.6,237.5
1111.5,236.6
1117.2,237.9
1122.1,241.0
1132.9,242.2
1139.8,240.8
1146.8,241.5
1153.2,244.4
1157.1,249.8
1126.4,249.1
1124.7,254.5
1123.0,259.9
1121.4,265.6
1114.7,270.0
1117.8,271.6
1121.1,273.1
1125.2,272.7
1129.1,272.3
1106.3,248.6
1110.2,246.7
1114.5,247.4
1117.8,250.7
1113.6,250.8
